"country","catch_mpa","catch_eez","nut_2"
"BRA",89536083159.7885,447202691101.699,"Calcium"
"VGB",0,9912301245.4845,"Calcium"
"CHL",3544510491.4159,768367826627.219,"Calcium"
"COL",6046462447.50336,20051546567.6466,"Calcium"
"CRI",4014890003.59042,13607335770.9407,"Calcium"
"DOM",17505364236.9272,43203186618.1405,"Calcium"
"ECU",8965533396.2439,147019417948.041,"Calcium"
"JAM",0,11567619408.2778,"Calcium"
"BES",1628688546.75797,1628688546.75797,"Calcium"
"PER",23228156809.4053,2049758702298.9,"Calcium"
"PAN",8010325360.34235,73332890466.3693,"Calcium"
"SUR",0,42050208385.9265,"Calcium"
"VEN",9456692488.61432,55386869575.0144,"Calcium"
"VIR",0,3651074799.17082,"Calcium"
"AUS",32390873152.9692,104857875139.859,"Calcium"
"CAN",48608912175.4615,649508398089.893,"Calcium"
"FRA",55299863907.5119,129920209724.68,"Calcium"
"IRN",0,374202086347.964,"Calcium"
"JPN",270738955813.178,2533559593731.82,"Calcium"
"KEN",0,17536684591.4698,"Calcium"
"KOR",42306757085.5012,1023865715781.59,"Calcium"
"MYS",151659035533.306,5178991993381.06,"Calcium"
"MRT",82167911156.4727,592504338746.634,"Calcium"
"MOZ",6113656904.45327,97457814512.0423,"Calcium"
"SJM",10113799353.8883,50404041229.1143,"Calcium"
"PHL",147716341379.465,1403224895339.83,"Calcium"
"POL",4710753463.25862,31845508898.7784,"Calcium"
"SAU",11926395288.9032,112095274253.221,"Calcium"
"SWE",14017618089.8084,59906329389.228,"Calcium"
"TUN",404046723.907213,53419460597.7562,"Calcium"
"USA",100882471298.477,1910814623258.61,"Calcium"
"CMR",0,65600461839.1809,"Calcium"
"IDN",475855062784.742,9534270050282.43,"Calcium"
"MUS",0,13489688881.534,"Calcium"
"PRT",10505068913.0993,51436120678.12,"Calcium"
"GBR",122074431638.268,436038353246.365,"Calcium"
"ISL",1975802128.90084,250476674658.88,"Calcium"
"NZL",6593428726.66615,124135295848.749,"Calcium"
"EST",1493187903.22123,20819841418.9032,"Calcium"
"GEO",0,107076990918.882,"Calcium"
"UKR",2395943958.9705,63492113732.7991,"Calcium"
"MEX",176050065638.938,1067534588157.41,"Calcium"
"FLK",0,262559744176.409,"Calcium"
"GRL",52823462.4246887,89851184009.8733,"Calcium"
"BHS",1128922354.39058,21557913528.303,"Calcium"
"GMB",0,50181174115.4954,"Calcium"
"MDG",7825315937.77984,185886151198.215,"Calcium"
"HRV",3439811230.03906,37791715736.9279,"Calcium"
"SEN",32388388433.3515,237295603962.778,"Calcium"
"FJI",5390808137.54984,24148915914.4548,"Calcium"
"NOR",7487891611.87675,404195324691.598,"Calcium"
"LKA",0,217001819989.926,"Calcium"
"ARG",19703193339.0607,295449761147.49,"Calcium"
"ZAF",17368575319.1434,240004145296.907,"Calcium"
"PNG",1166411514.86436,64057536882.3437,"Calcium"
"NCL",4846854346.33874,10862735416.6063,"Calcium"
"TON",0,5599205910.47935,"Calcium"
"PLW",11638924194.9845,12164676766.6449,"Calcium"
"COK",3111488502.13162,3111488502.13162,"Calcium"
"AGO",11961822252.1789,358753246360.906,"Calcium"
"ALB",0,3710757056.00005,"Calcium"
"SYC",11915307301.1009,22212348587.0134,"Calcium"
"NFK",0,200045384.140816,"Calcium"
"IRL",3020546307.02863,119335306984.455,"Calcium"
"ESP",42499579149.0836,152728923305.68,"Calcium"
"DNK",10249555524.2013,65275347281.158,"Calcium"
"ITA",16149534903.2888,97310717380.0013,"Calcium"
"PAK",0,1490013296101.19,"Calcium"
"THA",200495110750.905,2878891942740.28,"Calcium"
"FIN",14525887310.5099,58892270346.8562,"Calcium"
"VNM",167092188635.79,2214608724611.18,"Calcium"
"MMR",10409703255.7507,1302797039082.04,"Calcium"
"TWN",3627411496.18794,1263572784428.52,"Calcium"
"DEU",26831290801.8967,55288061254.8671,"Calcium"
"ROU",782691629.04508,2216276828.87317,"Calcium"
"CUW",0,607102993.91932,"Calcium"
"EGY",13340907830.654,107768585464.229,"Calcium"
"VUT",0,5341967986.20956,"Calcium"
"RUS",41530392965.4165,2771299766916.45,"Calcium"
"BGR",0,6548036163.01647,"Calcium"
"MAR",0,442130532370.354,"Calcium"
"MLT",653797740.138259,2244737679.87045,"Calcium"
"DMA",0,857875058.981233,"Calcium"
"LCA",0,1280664730.42273,"Calcium"
"OMN",500211889656.578,577187055761.911,"Calcium"
"BLZ",10660260.9497168,11604195300.8942,"Calcium"
"PRI",0,5090758684.86416,"Calcium"
"CUB",8014101925.69202,31418989253.2202,"Calcium"
"GTM",3733640188.08421,64474262931.802,"Calcium"
"NIC",8696219228.88636,156026113805.875,"Calcium"
"GRD",0,1081634244.64803,"Calcium"
"TTO",0,17504351025.0578,"Calcium"
"NLD",7425083868.74172,39058105338.3656,"Calcium"
"CYM",0,521170917.277012,"Calcium"
"WSM",0,9700414077.52413,"Calcium"
"TCA",0,14151174078.2443,"Calcium"
"PCN",33650326.0301131,33650326.0301131,"Calcium"
"GRC",3823826530.5193,33267859500.95,"Calcium"
"ISR",0,2726081407.11195,"Calcium"
"ABW",0,1403811362.99257,"Calcium"
"AIA",0,3002537736.21473,"Calcium"
"VCT",0,1402329361.9764,"Calcium"
"BRN",0,50503197008.2644,"Calcium"
"KWT",0,9174879853.05265,"Calcium"
"UMI",5695927729.13436,7181714182.51023,"Calcium"
"HND",4105159676.94513,13002829431.8729,"Calcium"
"GNQ",0,15404843603.6233,"Calcium"
"BMU",0,1626072297.83436,"Calcium"
"KNA",0,1059894167.71907,"Calcium"
"ATG",0,7935808126.50343,"Calcium"
"LTU",324694380.874193,6187784764.6004,"Calcium"
"TZA",21669463270.5669,106385119117.507,"Calcium"
"GNB",1533403354.96184,374335170106.902,"Calcium"
"NGA",0,306921503829.948,"Calcium"
"LVA",5620618675.78437,25896192928.6602,"Calcium"
"GUY",0,60671815143.4212,"Calcium"
"KAZ",0,0,"Calcium"
"CHN",36151757870.2306,3546664214023.86,"Calcium"
"BEL",539507099.89877,1532007448.53431,"Calcium"
"GIN",12961882159.4745,297776685223.52,"Calcium"
"KHM",0,1238537526831.99,"Calcium"
"GAB",20951817462.0029,57188326194.1788,"Calcium"
"REU",0,292781640.15639,"Calcium"
"GUF",0,12671047586.8461,"Calcium"
"MTQ",3852472048.49673,3852472048.49673,"Calcium"
"SHN",137673050.774901,345427600.152164,"Calcium"
"AZE",0,0,"Calcium"
"NAM",10777505065.9998,218757855352.148,"Calcium"
"TUR",0,150090605185.104,"Calcium"
"BRB",0,2991050850.15439,"Calcium"
"CCK",0,12007448.5033128,"Calcium"
"GLP",5615258399.29433,5615258399.29433,"Calcium"
"SLV",0,11447365353.1957,"Calcium"
"CPV",0,20086571060.7846,"Calcium"
"COG",10995574348.6854,33830072177.2359,"Calcium"
"MCO",0,0,"Calcium"
"HMD",11235784.5755317,408968336.496105,"Calcium"
"BGD",84337500550.3621,582431626065.94,"Calcium"
"BLM",1010332123.78266,1010332123.78266,"Calcium"
"TKM",0,0,"Calcium"
"SLB",0,61098594002.143,"Calcium"
"MAF",0,0,"Calcium"
"SVN",0,0,"Calcium"
"SLE",16662766467.4801,221235692496.16,"Calcium"
"MNP",7473371.51115462,572986944.049188,"Calcium"
"KIR",12517133116.7843,57421675288.1712,"Calcium"
"COM",0,2988639030.60864,"Calcium"
"GUM",75079.0098587635,72959990.9922662,"Calcium"
"JEY",0,0,"Calcium"
"SXM",0,0,"Calcium"
"ATF",974182017.830752,10336962868.0493,"Calcium"
"TLS",0,12173724700.5006,"Calcium"
"MYT",5084993997.88122,5084993997.88122,"Calcium"
"SPM",0,3790872309.17321,"Calcium"
"ASM",64035036.0662087,1087269589.7127,"Calcium"
"URY",404291026.055638,28711210670.3231,"Calcium"
"LBN",0,1011582800.80354,"Calcium"
"MHL",0,13480945806.7461,"Calcium"
"GGY",0,918174948.387013,"Calcium"
"DZA",0,75240421648.1169,"Calcium"
"STP",0,6215332651.38112,"Calcium"
"YEM",0,548135615815.617,"Calcium"
"COD",0,798090964.070138,"Calcium"
"CYP",183705131.667129,2990477396.55815,"Calcium"
"ARE",1335101351.50043,81130750659.4059,"Calcium"
"LBR",1166537011.75082,51598902075.4703,"Calcium"
"SGS",88070627750.3026,88070627928.0411,"Calcium"
"TUV",0,5859714178.22613,"Calcium"
"FRO",0,137104311850.629,"Calcium"
"DJI",0,10413907901.4189,"Calcium"
"MDV",0,23233816196.7056,"Calcium"
"SDN",375073436.2826,16276599677.8282,"Calcium"
"IMN",625398762.952187,1347898951.61205,"Calcium"
"HTI",0,10575669251.9202,"Calcium"
"QAT",0,17025856172.7412,"Calcium"
"ERI",2204354060.45323,46063341024.8112,"Calcium"
"MNE",0,1420987580.12777,"Calcium"
"BRA",880931828.857828,4419715342.40778,"DHA+EPA"
"VGB",0,16502812.4562025,"DHA+EPA"
"CHL",68917540.649411,22209632570.1185,"DHA+EPA"
"COL",54026077.9209224,239074979.209892,"DHA+EPA"
"CRI",22780964.4455949,100382531.479746,"DHA+EPA"
"DOM",57070468.2505283,154959570.55368,"DHA+EPA"
"ECU",237132726.563158,4693112190.78017,"DHA+EPA"
"JAM",0,113471009.891553,"DHA+EPA"
"BES",10315966.9602971,10315966.9602971,"DHA+EPA"
"PER",577619089.295543,52628742686.6489,"DHA+EPA"
"PAN",108345245.566097,938406222.731471,"DHA+EPA"
"SUR",0,183305280.590925,"DHA+EPA"
"VEN",229533424.908636,1137324205.22218,"DHA+EPA"
"VIR",0,7224280.45234562,"DHA+EPA"
"AUS",274745950.930685,1010685294.20233,"DHA+EPA"
"CAN",659750070.708186,9884115905.68888,"DHA+EPA"
"FRA",1364252687.6116,3341188272.03905,"DHA+EPA"
"IRN",0,1892790722.21702,"DHA+EPA"
"JPN",4444317816.73708,47800589060.9371,"DHA+EPA"
"KEN",0,90765312.3633763,"DHA+EPA"
"KOR",623532210.685137,20198726274.5915,"DHA+EPA"
"MYS",436668076.058953,18337447838.096,"DHA+EPA"
"MRT",2653266459.40014,15734714185.5082,"DHA+EPA"
"MOZ",70238058.4745936,1272631720.99912,"DHA+EPA"
"SJM",99688226.0570536,843293844.345663,"DHA+EPA"
"PHL",1047867506.72431,11717250789.0534,"DHA+EPA"
"POL",174322569.292144,1330823820.03428,"DHA+EPA"
"SAU",43602119.7556957,429594993.342516,"DHA+EPA"
"SWE",572508182.10771,2471323591.82213,"DHA+EPA"
"TUN",13108791.8583708,1789624196.05568,"DHA+EPA"
"USA",1110128182.80033,22757992265.9244,"DHA+EPA"
"CMR",0,1464368084.11032,"DHA+EPA"
"IDN",2440649656.47623,47798525112.2188,"DHA+EPA"
"MUS",0,74808033.9356364,"DHA+EPA"
"PRT",317211251.353918,1673043421.4679,"DHA+EPA"
"GBR",3973593235.89477,18190663514.0912,"DHA+EPA"
"ISL",87909546.7925253,5610809791.14829,"DHA+EPA"
"NZL",103185873.067147,2367546341.08892,"DHA+EPA"
"EST",55128313.7580864,873934765.483423,"DHA+EPA"
"GEO",0,3697211164.70635,"DHA+EPA"
"UKR",95097533.8961726,2111728943.05539,"DHA+EPA"
"MEX",2382062796.5339,13014622182.8491,"DHA+EPA"
"FLK",0,4315205043.86949,"DHA+EPA"
"GRL",6952812.05494017,1709308776.63485,"DHA+EPA"
"BHS",1786218.56831375,31349247.5387894,"DHA+EPA"
"GMB",0,757878085.179599,"DHA+EPA"
"MDG",23705189.5209406,575907462.254293,"DHA+EPA"
"HRV",103901297.377174,1079254116.50654,"DHA+EPA"
"SEN",503035806.455675,3804171898.82591,"DHA+EPA"
"FJI",29650865.8197214,182626640.38498,"DHA+EPA"
"NOR",576477255.864278,15858666049.9708,"DHA+EPA"
"LKA",0,2550358970.46776,"DHA+EPA"
"ARG",121845245.101341,2577605209.79959,"DHA+EPA"
"ZAF",377126922.607271,5279935595.01158,"DHA+EPA"
"PNG",6811868.26804218,1391030327.96579,"DHA+EPA"
"NCL",42936005.6899812,64198015.6688749,"DHA+EPA"
"TON",0,34819684.1751713,"DHA+EPA"
"PLW",397284710.058707,406733605.547601,"DHA+EPA"
"COK",66099237.6171825,66099237.6171825,"DHA+EPA"
"AGO",241139249.800246,5945682865.56809,"DHA+EPA"
"ALB",0,91896097.8482035,"DHA+EPA"
"SYC",29082993.7895844,66623202.7938956,"DHA+EPA"
"NFK",0,4228193.6453766,"DHA+EPA"
"IRL",66216888.4372927,3567855974.38941,"DHA+EPA"
"ESP",1609976973.55972,6368642075.31854,"DHA+EPA"
"DNK",311447454.70524,2016190789.22633,"DHA+EPA"
"ITA",579921293.213279,3514504581.87179,"DHA+EPA"
"PAK",0,4833017909.44546,"DHA+EPA"
"THA",702014271.589001,8915811107.27648,"DHA+EPA"
"FIN",530840522.128484,2109768828.14827,"DHA+EPA"
"VNM",955337667.030873,13083013779.7457,"DHA+EPA"
"MMR",75544572.9420926,8597879893.59212,"DHA+EPA"
"TWN",65463408.6567516,22005444359.0548,"DHA+EPA"
"DEU",788814586.491315,1517550894.20915,"DHA+EPA"
"ROU",11384848.8463566,45060260.7924119,"DHA+EPA"
"CUW",0,6073460.30832565,"DHA+EPA"
"EGY",65973501.9228528,1654392831.08872,"DHA+EPA"
"VUT",0,50329186.0568547,"DHA+EPA"
"RUS",720051400.882788,45516422372.8079,"DHA+EPA"
"BGR",0,127390676.155255,"DHA+EPA"
"MAR",0,11076686908.8634,"DHA+EPA"
"MLT",21503983.7633105,123115158.867887,"DHA+EPA"
"DMA",0,4112830.64296076,"DHA+EPA"
"LCA",0,4276646.83988703,"DHA+EPA"
"OMN",1280597000.28441,1604332801.36885,"DHA+EPA"
"BLZ",162754.37286943,16388409.1213239,"DHA+EPA"
"PRI",0,7907684.19911669,"DHA+EPA"
"CUB",20466412.5630061,94438142.5979303,"DHA+EPA"
"GTM",27634900.7647549,170052291.62181,"DHA+EPA"
"NIC",9064716.34108665,231465061.075899,"DHA+EPA"
"GRD",0,6699734.51967687,"DHA+EPA"
"TTO",0,127336230.557476,"DHA+EPA"
"NLD",217556554.462908,1255102511.39252,"DHA+EPA"
"CYM",0,363448.223189063,"DHA+EPA"
"WSM",0,35289371.8757563,"DHA+EPA"
"TCA",0,6775087.43345081,"DHA+EPA"
"PCN",1315548.96460467,1315548.96460467,"DHA+EPA"
"GRC",178624999.792389,1714483366.57609,"DHA+EPA"
"ISR",0,72253112.4297841,"DHA+EPA"
"ABW",0,10033237.1783823,"DHA+EPA"
"AIA",0,8771751.11203548,"DHA+EPA"
"VCT",0,4558664.42493155,"DHA+EPA"
"BRN",0,363289353.655435,"DHA+EPA"
"KWT",0,96658730.6091205,"DHA+EPA"
"UMI",90935617.6743493,165501076.295153,"DHA+EPA"
"HND",4699715.26200047,20663247.2687287,"DHA+EPA"
"GNQ",0,249920506.80074,"DHA+EPA"
"BMU",0,8016777.35111898,"DHA+EPA"
"KNA",0,11168358.9679144,"DHA+EPA"
"ATG",0,8354005.565028,"DHA+EPA"
"LTU",13208464.8423339,277354622.732192,"DHA+EPA"
"TZA",99881713.4518834,500081064.867097,"DHA+EPA"
"GNB",18351887.8585884,5426764710.44125,"DHA+EPA"
"NGA",0,3412986905.24305,"DHA+EPA"
"LVA",224946687.574285,1110176727.38208,"DHA+EPA"
"GUY",0,214805552.894756,"DHA+EPA"
"KAZ",0,0,"DHA+EPA"
"CHN",600394879.402555,55901882284.4564,"DHA+EPA"
"BEL",21060124.6507133,58511080.2562407,"DHA+EPA"
"GIN",230087049.266063,5089240677.5274,"DHA+EPA"
"KHM",0,3953113539.91666,"DHA+EPA"
"GAB",326597516.371533,932529688.131045,"DHA+EPA"
"REU",0,4436333.34130548,"DHA+EPA"
"GUF",0,42231441.7826811,"DHA+EPA"
"MTQ",34892319.6494785,34892319.6494785,"DHA+EPA"
"SHN",2523857.88021672,5375690.83550651,"DHA+EPA"
"AZE",0,0,"DHA+EPA"
"NAM",213462737.349807,4475139612.31296,"DHA+EPA"
"TUR",0,6690237286.37982,"DHA+EPA"
"BRB",0,30636038.3841878,"DHA+EPA"
"CCK",0,174365.438998932,"DHA+EPA"
"GLP",40090989.4472131,40090989.4472131,"DHA+EPA"
"SLV",0,105668303.71057,"DHA+EPA"
"CPV",0,378715152.854098,"DHA+EPA"
"COG",259608618.474051,667181467.71449,"DHA+EPA"
"MCO",0,0,"DHA+EPA"
"HMD",244669.866312665,16378376.6290802,"DHA+EPA"
"BGD",1381056426.00952,6722473776.12914,"DHA+EPA"
"BLM",1861734.53611669,1861734.53611669,"DHA+EPA"
"TKM",0,0,"DHA+EPA"
"SLB",0,337736853.460088,"DHA+EPA"
"MAF",0,0,"DHA+EPA"
"SVN",0,0,"DHA+EPA"
"SLE",245263375.007273,3220491402.37101,"DHA+EPA"
"MNP",133382.645811639,2350264.20469827,"DHA+EPA"
"KIR",732481352.12065,2637931636.69308,"DHA+EPA"
"COM",0,27998286.1080074,"DHA+EPA"
"GUM",1216.7766162593,524886.828380189,"DHA+EPA"
"JEY",0,0,"DHA+EPA"
"SXM",0,0,"DHA+EPA"
"ATF",35827894.8482024,438717881.350253,"DHA+EPA"
"TLS",0,48629226.5352579,"DHA+EPA"
"MYT",30102431.4797348,30102431.4797348,"DHA+EPA"
"SPM",0,35675939.8078751,"DHA+EPA"
"ASM",2134088.6290182,36073238.2678851,"DHA+EPA"
"URY",8365011.54739982,347126077.094034,"DHA+EPA"
"LBN",0,60458848.8459913,"DHA+EPA"
"MHL",0,505478353.107186,"DHA+EPA"
"GGY",0,9416550.61064924,"DHA+EPA"
"DZA",0,3427391411.55033,"DHA+EPA"
"STP",0,117066997.030165,"DHA+EPA"
"YEM",0,3558413814.3646,"DHA+EPA"
"COD",0,11527779.2399269,"DHA+EPA"
"CYP",20150673.3975088,440758788.258109,"DHA+EPA"
"ARE",11397064.5458502,493691625.266318,"DHA+EPA"
"LBR",13144770.0157466,631212946.096562,"DHA+EPA"
"SGS",198518827.951545,198518828.177924,"DHA+EPA"
"TUV",0,328047966.358011,"DHA+EPA"
"FRO",0,1462834280.22942,"DHA+EPA"
"DJI",0,62340220.0270651,"DHA+EPA"
"MDV",0,97123626.2151868,"DHA+EPA"
"SDN",654818.302177276,89245340.3608803,"DHA+EPA"
"IMN",8904365.94141258,19103464.161782,"DHA+EPA"
"HTI",0,81821697.5196975,"DHA+EPA"
"QAT",0,98200851.1885557,"DHA+EPA"
"ERI",8036989.22220213,110528628.978816,"DHA+EPA"
